Time,Record Num,Azimuth,Pitch,Roll,AccelX,AccelY,AccelZ,AccelMag,InstantSpeed,StartQuit,Label
7/27/17 15:01,82,-2.8006003,1.0971484,3.0180874,-0.125664324,0.080837055,0.048140562,0.156983011,0.005413207,,no label provided
7/27/17 15:01,83,-2.8006003,1.0971484,3.0180874,-0.081377835,0.217898364,-0.17600915,0.291686938,0.01005817,,no label provided
7/27/17 15:01,84,-2.8082685,1.0969589,3.0312889,-0.065102268,0.174318691,-0.14080732,0.233349551,0.008046536,,no label provided
7/27/17 15:01,85,-2.8082685,1.0969589,3.0312889,-0.059743247,0.085824953,-0.139460656,0.174311367,0.006010737,,no label provided
7/27/17 15:01,86,-2.8136187,1.0968022,3.0386012,-0.047794597,0.068659962,-0.111568525,0.139449094,0.004808589,,no label provided
7/27/17 15:01,87,-2.8136187,1.0968022,3.0386012,-0.04781251,0.01853621,0.01034478,0.052312921,0.001803894,,no label provided
7/27/17 15:01,88,-2.8127387,1.0964051,3.0374475,-0.038250008,0.014828968,0.008275824,0.041850336,0.001443115,,no label provided
7/27/17 15:01,89,-2.8127387,1.0964051,3.0374475,0.032606954,-0.133704666,0.069827059,0.154324234,0.005321525,,no label provided
7/27/17 15:01,90,-2.8125346,1.0964156,3.0372434,0.026085563,-0.106963733,0.055861647,0.123459387,0.00425722,,no label provided
7/27/17 15:01,91,-2.8125346,1.0964156,3.0372434,0.051514186,-0.049179146,0.035112518,0.079405218,0.002738111,,no label provided
7/27/17 15:01,92,-2.809972,1.0976695,3.0343926,0.041211349,-0.039343317,0.028090014,0.063524175,0.002190489,,no label provided
7/27/17 15:01,93,-2.809972,1.0976695,3.0343926,0.105752831,-0.092766093,-0.029242389,0.143681337,0.004954529,,no label provided
7/27/17 15:01,94,-2.8107765,1.096954,3.0322504,0.084602265,-0.074212875,-0.023393911,0.11494507,0.003963623,,no label provided
7/27/17 15:01,95,-2.8107765,1.096954,3.0322504,0.083004692,0.04405954,0.021507271,0.09640324,0.00332425,,no label provided
7/27/17 15:01,96,-2.816066,1.0960991,3.0332024,0.066403754,0.035247632,0.017205817,0.077122592,0.0026594,,no label provided
7/27/17 15:01,97,-2.816066,1.0960991,3.0332024,-0.010083925,-0.027347814,-0.060934546,0.067547076,0.00232921,,no label provided
7/27/17 15:01,98,-2.81839,1.094708,3.0337324,-0.00806714,-0.021878251,-0.048747637,0.054037661,0.001863368,,no label provided
7/27/17 15:01,99,-2.81839,1.094708,3.0337324,0.02036136,0.072519719,-0.06006771,0.096342225,0.003322146,,no label provided
7/27/17 15:01,100,-2.8214078,1.0938224,3.0340238,0.016289088,0.058015775,-0.048054168,0.07707378,0.002657717,,no label provided
7/27/17 15:01,101,-2.8214078,1.0938224,3.0340238,0.053253846,-0.01679418,-0.019289734,0.059077157,0.002037143,,no label provided
7/27/17 15:01,102,-2.8238559,1.092036,3.0348775,0.042603077,-0.013435344,-0.015431787,0.047261726,0.001629715,,no label provided
7/27/17 15:01,103,-2.8238559,1.092036,3.0348775,0.064728254,-0.095024515,0.07959297,0.139837213,0.004821973,,no label provided
